step,sim_time_s,px_m,py_m,pz_m,qw,qx,qy,qz,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps
1,0.029167,0.000000000,0.000000000,0.495231271,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.286125004,0.000000000,0.000000000,0.000000000
2,0.033333,0.000000000,0.000000000,0.493868768,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.327000022,0.000000000,0.000000000,0.000000000
3,0.037500,0.000000000,0.000000000,0.492335945,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.367875040,0.000000000,0.000000000,0.000000000
4,0.041667,0.000000000,0.000000000,0.490632832,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.408750057,0.000000000,0.000000000,0.000000000
5,0.045833,0.000000000,0.000000000,0.488759398,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.449625075,0.000000000,0.000000000,0.000000000
6,0.050000,0.000000000,0.000000000,0.486715645,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.490500093,0.000000000,0.000000000,0.000000000
7,0.054167,0.000000000,0.000000000,0.484501570,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.531375110,0.000000000,0.000000000,0.000000000
8,0.058333,0.000000000,0.000000000,0.482117206,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.572250128,0.000000000,0.000000000,0.000000000
9,0.062500,0.000000000,0.000000000,0.479562521,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.613125145,0.000000000,0.000000000,0.000000000
10,0.066667,0.000000000,0.000000000,0.476837516,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.654000163,0.000000000,0.000000000,0.000000000
11,0.070833,0.000000000,0.000000000,0.473942190,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.694875181,0.000000000,0.000000000,0.000000000
12,0.075000,0.000000000,0.000000000,0.470876575,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.735750198,0.000000000,0.000000000,0.000000000
13,0.079167,0.000000000,0.000000000,0.467640638,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.776625216,0.000000000,0.000000000,0.000000000
