step,sim_time_s,px_m,py_m,pz_m,qw,qx,qy,qz,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,local_x_m,local_y_m,local_z_m
1,0.029167,0.000000000,0.000000000,0.395231277,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.286125004,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.195231277
2,0.033333,0.000000000,0.000000000,0.393868774,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.327000022,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.193868774
3,0.037500,0.000000000,0.000000000,0.392335951,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.367875040,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.192335951
4,0.041667,0.000000000,0.000000000,0.390632838,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.408750057,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.190632838
5,0.045833,0.000000000,0.000000000,0.388759404,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.449625075,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.188759404
6,0.050000,0.000000000,0.000000000,0.386715651,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.490500093,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.186715651
7,0.054167,0.000000000,0.000000000,0.384501576,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.531375110,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.184501576
8,0.058333,0.000000000,0.000000000,0.382117212,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.572250128,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.182117212
9,0.062500,0.000000000,0.000000000,0.379562527,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.613125145,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.179562527
10,0.066667,0.000000000,0.000000000,0.376837522,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.654000163,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.176837522
11,0.070833,0.000000000,0.000000000,0.373942196,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.694875181,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.173942196
12,0.075000,0.000000000,0.000000000,0.370876580,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.735750198,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.170876580
