step,sim_time_s,px_m,py_m,pz_m,qw,qx,qy,qz,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,local_x_m,local_y_m,local_z_m
1,0.066667,0.000000000,0.000000000,0.442750007,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.654000044,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.242750007
2,0.083333,0.000000000,0.000000000,0.429125011,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.817500055,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.229125011
3,0.100000,0.000000000,0.000000000,0.412775010,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.981000066,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.212775010
4,0.116667,0.000000000,0.000000000,0.393700004,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.144500017,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.193700004
5,0.133333,0.000000000,0.000000000,0.371899992,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.308000088,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.171899992
6,0.150000,0.000000000,0.000000000,0.347374976,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.471500158,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.147374976
7,0.166667,0.000000000,0.000000000,0.320124984,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.635000229,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.120124984
8,0.183333,0.000000000,0.000000000,0.290149987,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.798500299,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.090149987
9,0.200000,0.000000000,0.000000000,0.257449985,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.962000370,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.057449985
10,0.216667,0.000000000,0.000000000,0.222024977,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.125500441,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.022024977
