step,sim_time_s,px_m,py_m,pz_m,qw,qx,qy,qz,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,local_x_m,local_y_m,local_z_m
1,0.029167,0.000000000,0.000000000,0.615231276,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.286125004,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.415231276
2,0.033333,0.000000000,0.000000000,0.613868773,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.327000022,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.413868773
3,0.037500,0.000000000,0.000000000,0.612335980,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.367875040,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.412335980
4,0.041667,0.000000000,0.000000000,0.610632837,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.408750057,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.410632837
5,0.045833,0.000000000,0.000000000,0.608759403,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.449625075,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.408759403
6,0.050000,0.000000000,0.000000000,0.606715679,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.490500093,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.406715679
7,0.054167,0.000000000,0.000000000,0.604501605,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.531375110,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.404501605
8,0.058333,0.000000000,0.000000000,0.602117240,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.572250128,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.402117240
9,0.062500,0.000000000,0.000000000,0.599562526,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.613125145,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.399562526
10,0.066667,0.000000000,0.000000000,0.596837521,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.654000163,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.396837521
11,0.070833,0.000000000,0.000000000,0.593942225,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.694875181,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.393942225
12,0.075000,0.000000000,0.000000000,0.590876579,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.735750198,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.390876579
13,0.079167,0.000000000,0.000000000,0.587640643,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.776625216,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.387640643
14,0.083333,0.000000000,0.000000000,0.584234416,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.817500234,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.384234416
15,0.087500,0.000000000,0.000000000,0.580657840,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.858375251,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.380657840
16,0.091667,0.000000000,0.000000000,0.576910973,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.899250269,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.376910973
17,0.095833,0.000000000,0.000000000,0.572993755,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.940125287,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.372993755
18,0.100000,0.000000000,0.000000000,0.568906248,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.981000304,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.368906248
19,0.104167,0.000000000,0.000000000,0.564648449,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.021875262,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.364648449
20,0.108333,0.000000000,0.000000000,0.560220301,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.062750220,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.360220301
21,0.112500,0.000000000,0.000000000,0.555621862,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.103625178,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.355621862
22,0.116667,0.000000000,0.000000000,0.550853133,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.144500136,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.350853133
23,0.120833,0.000000000,0.000000000,0.545914054,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-1.185375094,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.345914054
